ID,Other,Outbreak_A,Sporadic,Outbreak_M,Gull
SRR3323018,1,0,0,0,0
SRR3476849,0,1,0,0,0
SRR3476848,0,1,0,0,0
SRR3476847,0,1,0,0,0
SRR3476846,0,0,1,0,0
SRR3476845,0,0,0,1,0
SRR3476844,0,1,0,0,0
SRR3476843,0,0,0,1,0
SRR3476842,0,0,0,1,0
SRR3476841,0,0,0,1,0
SRR3476840,0,0,0,1,0
SRR3476839,0,0,0,1,0
SRR3476838,0,0,0,1,0
SRR3476837,0,0,0,1,0
SRR3476836,0,1,0,0,0
SRR3476835,0,1,0,0,0
SRR3476834,0,0,1,0,0
SRR3476833,0,1,0,0,0
SRR3476832,0,0,1,0,0
SRR3476831,0,0,1,0,0
SRR3476830,0,0,1,0,0
SRR3476829,0,0,0,1,0
SRR3476828,0,0,0,1,0
SRR3476827,0,0,0,1,0
SRR3476826,0,0,0,1,0
SRR3476825,0,0,0,1,0
SRR3476824,0,0,0,1,0
SRR3476823,0,0,0,1,0
SRR3476822,0,1,0,0,0
SRR3476821,0,0,0,1,0
SRR3476820,0,0,0,1,0
SRR3476819,0,0,0,1,0
SRR3476818,0,0,0,1,0
SRR3476817,0,0,0,1,0
SRR3476816,0,0,1,0,0
SRR3476814,0,0,1,0,0
SRR3476812,0,1,0,0,0
SRR3476811,0,0,1,0,0
SRR3476810,0,0,1,0,0
SRR3476809,0,0,1,0,0
SRR3476808,0,1,0,0,0
SRR3476806,0,1,0,0,0
SRR3476805,0,1,0,0,0
SRR3476804,0,1,0,0,0
SRR3476803,0,1,0,0,0
SRR3476802,0,1,0,0,0
SRR3476801,0,1,0,0,0
SRR3476799,0,0,1,0,0
SRR3476798,0,1,0,0,0
SRR3476797,0,1,0,0,0
SRR3476796,0,1,0,0,0
SRR3476795,0,1,0,0,0
SRR3476794,0,1,0,0,0
SRR3476793,0,1,0,0,0
SRR3476792,0,1,0,0,0
SRR3476791,0,1,0,0,0
SRR3476790,0,1,0,0,0
SRR3476789,0,0,1,0,0
SRR3476788,0,0,1,0,0
SRR5631610,1,0,0,0,0
SRR4419692,1,0,0,0,0
SRR4419691,1,0,0,0,0
SRR4419690,1,0,0,0,0
SRR4419689,1,0,0,0,0
SRR4419686,1,0,0,0,0
SRR4419684,1,0,0,0,0
SRR4419679,1,0,0,0,0
SRR4419677,1,0,0,0,0
SRR4419674,1,0,0,0,0
SRR4419669,1,0,0,0,0
SRR4419667,1,0,0,0,0
SRR4419666,1,0,0,0,0
SRR4419664,1,0,0,0,0
SRR8715615,1,0,0,0,0
SRR14143696,1,0,0,0,0
SRR14143097,1,0,0,0,0
MD_7_C2,0,0,0,0,1
MD_6_A8,0,0,0,0,1
MD_6_A9,0,0,0,0,1
MD_6_G10,0,0,0,0,1
MD_6_H11,0,0,0,0,1
MD_6_G9,0,0,0,0,1
MD_7_A1,0,0,0,0,1
MD_6_G8,0,0,0,0,1
MD_6_D11,0,0,0,0,1
MD_7_A2,0,0,0,0,1
MD_6_B11,0,0,0,0,1
MD_6_B9,0,0,0,0,1
MD_6_A11,0,0,0,0,1
